Time,Force
300,25.55
310,27.7
320,27.8
330,27.7
340,28.7
350,29.7
360,30.8
370,31.9
380,32.9
390,34.1
400,35.1
410,36
420,37
430,37.9
440,38.85
450,39.7
460,40.4
470,41
480,41.6
490,42.1
500,43
510,42.5
520,43.3
530,44
540,44.8
550,45.5
560,46.1
570,46.8
580,47.5
590,48.1
600,48.7
