Time,Force
100,5.87
110,6.57
120,7.21
130,8.36
140,9.38
150,10.6
160,11.47
170,12.37
180,13.94
190,14.67
200,15.5
210,16.45
220,17.7
230,18.67
240,19.7
250,20.3
260,21.3
270,22.5
280,23.5
290,24.5
300,25.55
